,Date,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,month,day,day_of_year,week,Station,Tmax,Tmin,Tavg,Depart,Heat,Cool,PrecipTotal,DayLength_MPrec,DayLength_NearH,NightLength_MPrec,NightLength_NearH,Sunrise_hours,Sunset_hours,blended_Tmax,blended_Tmin,blended_Depart,blended_Heat,blended_Cool,blended_PrecipTotal
3013,2007-08-07,CULEX PIPIENS/RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3015,2007-08-07,CULEX PIPIENS,15, N LONG AVE,T153,41.907645,-87.760886,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3017,2007-08-07,CULEX PIPIENS/RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3019,2007-08-07,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3021,2007-08-07,CULEX PIPIENS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3023,2007-08-07,CULEX TERRITANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3025,2007-08-07,CULEX PIPIENS/RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3027,2007-08-07,CULEX RESTUANS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3029,2007-08-07,CULEX PIPIENS,91, W HIGGINS AVE,T009,41.981964,-87.812827,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3031,2007-08-07,CULEX PIPIENS/RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3033,2007-08-07,CULEX RESTUANS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3035,2007-08-07,CULEX PIPIENS,36, N PITTSBURGH AVE,T011,41.944869,-87.832763,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3037,2007-08-07,CULEX PIPIENS/RESTUANS,72, N OKETO AVE,T016,42.011601,-87.811506,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3039,2007-08-07,CULEX PIPIENS,72, N OKETO AVE,T016,42.011601,-87.811506,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3041,2007-08-07,CULEX PIPIENS,38, N CALIFORNIA AVE,T019,41.94983,-87.698457,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3043,2007-08-07,CULEX PIPIENS/RESTUANS,49, W BALMORAL AVE,T025,41.979243,-87.750938,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3045,2007-08-07,CULEX PIPIENS,49, W BALMORAL AVE,T025,41.979243,-87.750938,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3047,2007-08-07,CULEX PIPIENS/RESTUANS,58, N WESTERN AVE,T028,41.986921,-87.689778,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3049,2007-08-07,CULEX PIPIENS,58, N WESTERN AVE,T028,41.986921,-87.689778,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3051,2007-08-07,CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,41.801498,-87.763416,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3053,2007-08-07,CULEX PIPIENS,50, S CENTRAL AVE,T031,41.801498,-87.763416,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3055,2007-08-07,CULEX PIPIENS/RESTUANS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3057,2007-08-07,CULEX PIPIENS,14, N HUMBOLDT DR,T033,41.906638,-87.701431,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3059,2007-08-07,CULEX PIPIENS/RESTUANS,10, S VINCENNES,T089,41.723195,-87.64997,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3061,2007-08-07,CULEX PIPIENS,10, S VINCENNES,T089,41.723195,-87.64997,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3063,2007-08-07,CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3065,2007-08-07,CULEX RESTUANS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3067,2007-08-07,CULEX PIPIENS,11, S ASHLAND AVE,T090,41.868077,-87.666901,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3069,2007-08-07,CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,41.869216,-87.627561,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3071,2007-08-07,CULEX PIPIENS,11, S STATE ST,T092,41.869216,-87.627561,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3073,2007-08-07,CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,41.662014,-87.724608,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3075,2007-08-07,CULEX PIPIENS,42, W 127TH PL,T135,41.662014,-87.724608,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3077,2007-08-07,CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,41.961743,-87.76007,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3079,2007-08-07,CULEX PIPIENS,53, W AGATITE AVE,T141,41.961743,-87.76007,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3081,2007-08-07,CULEX PIPIENS/RESTUANS,40, N AUSTIN AVE,T142,41.953067,-87.776792,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3083,2007-08-07,CULEX PIPIENS,40, N AUSTIN AVE,T142,41.953067,-87.776792,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3085,2007-08-07,CULEX PIPIENS/RESTUANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3087,2007-08-07,CULEX PIPIENS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3089,2007-08-07,CULEX PIPIENS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3091,2007-08-07,CULEX TERRITANS,43, N ASHLAND AVE OVERPASS,T145,41.878114,-87.629798,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3093,2007-08-07,CULEX PIPIENS/RESTUANS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3095,2007-08-07,CULEX PIPIENS,28, N FRANCISCO AVE,T147,41.932094,-87.700117,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3097,2007-08-07,CULEX PIPIENS/RESTUANS,18, W FARWELL AVE,T150,42.006858,-87.675919,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3099,2007-08-07,CULEX PIPIENS,18, W FARWELL AVE,T150,42.006858,-87.675919,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3101,2007-08-07,CULEX PIPIENS/RESTUANS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3103,2007-08-07,CULEX PIPIENS,70,  W ARMITAGE AVENUE,T151,41.916265,-87.800515,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3105,2007-08-07,CULEX PIPIENS/RESTUANS,25, S MILLARD AVE,T152,41.846075,-87.716277,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3107,2007-08-07,CULEX PIPIENS,25, S MILLARD AVE,T152,41.846075,-87.716277,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3109,2007-08-07,CULEX PIPIENS/RESTUANS,21, N LAWLER AVE,T154,41.918705,-87.752329,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3111,2007-08-07,CULEX RESTUANS,21, N LAWLER AVE,T154,41.918705,-87.752329,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3113,2007-08-07,CULEX PIPIENS,21, N LAWLER AVE,T154,41.918705,-87.752329,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3115,2007-08-07,CULEX PIPIENS/RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3117,2007-08-07,CULEX RESTUANS,35, W 116TH ST,T158,41.682587,-87.707973,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3119,2007-08-07,CULEX PIPIENS,35, W 116TH ST,T158,41.682587,-87.707973,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3121,2007-08-07,CULEX PIPIENS/RESTUANS,93, S DR MARTIN LUTHER KING JR DR,T162,41.725517,-87.614258,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3123,2007-08-07,CULEX PIPIENS,93, S DR MARTIN LUTHER KING JR DR,T162,41.725517,-87.614258,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3125,2007-08-07,CULEX PIPIENS/RESTUANS,37, N KEDVALE AVE,T218,41.948167,-87.730698,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3127,2007-08-07,CULEX PIPIENS,37, N KEDVALE AVE,T218,41.948167,-87.730698,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3129,2007-08-07,CULEX PIPIENS/RESTUANS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3131,2007-08-07,CULEX PIPIENS,45, N CAMPBELL AVE,T220,41.963976,-87.69181,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3133,2007-08-07,CULEX PIPIENS/RESTUANS,40, N TRIPP AVE,T001,41.953705,-87.733974,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3135,2007-08-07,CULEX PIPIENS,40, N TRIPP AVE,T001,41.953705,-87.733974,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3137,2007-08-07,CULEX PIPIENS/RESTUANS,46, N MILWAUKEE AVE,T003,41.964242,-87.757639,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3139,2007-08-07,CULEX PIPIENS,46, N MILWAUKEE AVE,T003,41.964242,-87.757639,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3141,2007-08-07,CULEX PIPIENS/RESTUANS,60, N AVONDALE AVE,T006,41.990284,-87.797127,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3143,2007-08-07,CULEX PIPIENS,60, N AVONDALE AVE,T006,41.990284,-87.797127,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3145,2007-08-07,CULEX PIPIENS/RESTUANS,70, N MOSELL AVE,T008,42.008314,-87.777921,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3147,2007-08-07,CULEX PIPIENS/RESTUANS,70, N MOSELL AVE,T008,42.008314,-87.777921,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3149,2007-08-07,CULEX RESTUANS,70, N MOSELL AVE,T008,42.008314,-87.777921,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3151,2007-08-07,CULEX PIPIENS,70, N MOSELL AVE,T008,42.008314,-87.777921,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3153,2007-08-07,CULEX PIPIENS,70, N MOSELL AVE,T008,42.008314,-87.777921,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3155,2007-08-07,CULEX PIPIENS/RESTUANS,61, N LEMONT AVE,T012,41.991429,-87.747113,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3157,2007-08-07,CULEX PIPIENS,61, N LEMONT AVE,T012,41.991429,-87.747113,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3159,2007-08-07,CULEX PIPIENS,27, S WESTERN AVE,T034,41.843811,-87.686763,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3161,2007-08-07,CULEX PIPIENS/RESTUANS,68, W BELDEN AVE,T037,41.921177,-87.79518,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3163,2007-08-07,CULEX PIPIENS,68, W BELDEN AVE,T037,41.921177,-87.79518,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3165,2007-08-07,CULEX PIPIENS,30, W 18TH ST,T043,41.857402,-87.694991,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3167,2007-08-07,CULEX PIPIENS/RESTUANS,10, W 95TH ST,T085,41.721474,-87.648064,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3169,2007-08-07,CULEX RESTUANS,10, W 95TH ST,T085,41.721474,-87.648064,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3171,2007-08-07,CULEX PIPIENS,10, S CALIFORNIA AVE,T088,41.869107,-87.696293,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3173,2007-08-07,CULEX PIPIENS/RESTUANS,96, S HOYNE AVE,T161,41.719059,-87.675088,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3175,2007-08-07,CULEX PIPIENS,96, S HOYNE AVE,T161,41.719059,-87.675088,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3177,2007-08-07,CULEX PIPIENS/RESTUANS,18, W LELAND AVE,T219,41.966987,-87.674677,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3179,2007-08-07,CULEX PIPIENS,18, W LELAND AVE,T219,41.966987,-87.674677,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3181,2007-08-07,CULEX PIPIENS/RESTUANS,64, W STRONG ST,T014,41.970248,-87.787992,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3183,2007-08-07,CULEX PIPIENS,64, W STRONG ST,T014,41.970248,-87.787992,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3185,2007-08-07,CULEX PIPIENS/RESTUANS,12, W GREENLEAF AVE,T018,42.010412,-87.66214,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3187,2007-08-07,CULEX PIPIENS/RESTUANS,10, N CENTRAL PARK DR,T030,41.89923,-87.716788,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3189,2007-08-07,CULEX PIPIENS/RESTUANS,20, E 111TH ST,T084,41.692555,-87.598865,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3191,2007-08-07,CULEX PIPIENS,20, E 111TH ST,T084,41.692555,-87.598865,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3193,2007-08-07,CULEX RESTUANS,33, N RUTHERFORD AVE,T144,41.94016,-87.794896,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3195,2007-08-07,CULEX PIPIENS,33, N RUTHERFORD AVE,T144,41.94016,-87.794896,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3197,2007-08-07,CULEX PIPIENS/RESTUANS,11, S ARTESIAN AVE,T160,41.903002,-87.688267,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3199,2007-08-07,CULEX RESTUANS,11, S ARTESIAN AVE,T160,41.903002,-87.688267,1,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3201,2007-08-07,CULEX PIPIENS,11, S ARTESIAN AVE,T160,41.903002,-87.688267,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3203,2007-08-07,CULEX PIPIENS/RESTUANS,33, W 104TH ST,T095,41.704336,-87.703736,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3205,2007-08-07,CULEX PIPIENS/RESTUANS,30, S HOYNE AVE,T035,41.836644,-87.677737,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3207,2007-08-07,CULEX RESTUANS,30, S HOYNE AVE,T035,41.836644,-87.677737,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3209,2007-08-07,CULEX PIPIENS/RESTUANS,42, W 31ST ST,T036,41.837085,-87.729384,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
3211,2007-08-07,CULEX PIPIENS/RESTUANS,17, N PULASKI RD,T039,41.911824,-87.726737,0,8,7,219,32,2,92,73,83.0,9,0,18,0.06,14.2166666667,14.0,9.78333333333,10.0,4.85,19.0666666667,91.5,72.5,9.0,0.0,17.5,0.685
